description,category
coffee at starbucks,Food
grocery shopping,Food
restaurant lunch,Food
restaurant dinner,Food
italian food,Food
pizza,Food
burger,Food
sandwich,Food
salad,Food
pasta,Food
sushi,Food
tacos,Food
steak,Food
chicken,Food
fish,Food
vegetables,Food
fruits,Food
bread,Food
milk,Food
eggs,Food
cheese,Food
movie tickets,Entertainment
netflix subscription,Entertainment
gas station,Transportation
uber ride,Transportation
rent,Housing
electricity bill,Utilities
internet bill,Utilities
restaurant dinner,Food
lunch with friends,Food
dinner at italian restaurant,Food
lunch at pizza place,Food
breakfast at cafe,Food
brunch at restaurant,Food
dinner at mexican restaurant,Food
lunch at sandwich shop,Food
food court lunch,Food
restaurant meal,Food
dining out,Food
concert tickets,Entertainment
bus pass,Transportation
phone bill,Utilities
groceries,Food
gym membership,Health
doctor visit,Health
medicine,Health
car insurance,Transportation
parking fee,Transportation
spotify premium,Entertainment
video game,Entertainment
haircut,Personal Care
toiletries,Personal Care
clothing shopping,Shopping
amazon order,Shopping
book purchase,Education
online course,Education
train ticket,Transportation
taxi ride,Transportation
breakfast,Food
dinner out,Food
movie streaming,Entertainment
music festival,Entertainment
car maintenance,Transportation
health insurance,Health
dental cleaning,Health
skincare products,Personal Care
makeup,Personal Care
electronics purchase,Shopping
home supplies,Shopping
textbook,Education
language class,Education
subway pass,Transportation
flight ticket,Transportation
brunch,Food
pizza delivery,Food
theater tickets,Entertainment
concert,Entertainment
oil change,Transportation
car wash,Transportation
vitamins,Health
eye exam,Health
shampoo,Personal Care
soap,Personal Care
online shopping,Shopping
mall shopping,Shopping
tuition fee,Education
workshop,Education
bike rental,Transportation
car rental,Transportation
ice cream,Food
smoothie,Food
museum visit,Entertainment
bowling,Entertainment
parking meter,Transportation
toll bridge,Transportation
gym equipment,Health
yoga class,Health
deodorant,Personal Care
perfume,Personal Care
target shopping,Shopping
walmart shopping,Shopping
online certification,Education
seminar,Education
university tuition,Education
textbooks,Education
school supplies,Education
online course,Education
workshop fee,Education
training program,Education
certification exam,Education
language learning,Education
monthly rent,Housing
mortgage payment,Housing
property tax,Housing
home insurance,Housing
apartment lease,Housing
security deposit,Housing
moving expenses,Housing
home repair,Housing
furniture purchase,Housing
home maintenance,Housing
electricity bill,Utilities
water bill,Utilities
gas bill,Utilities
internet service,Utilities
phone bill,Utilities
trash service,Utilities
cable tv,Utilities
streaming services,Utilities
cloud storage,Utilities
coffee and bagel,Food
pizza delivery,Food
sushi restaurant,Food
burger king,Food
mcdonalds,Food
subway sandwich,Food
chipotle,Food
taco bell,Food
starbucks coffee,Food
dunkin donuts,Food
panera bread,Food
chicken wings,Food
salad bowl,Food
smoothie bowl,Food
protein shake,Food
energy drink,Food
bottled water,Food
protein bar,Food
fruit snack,Food
gas for car,Transportation
oil change,Transportation
car repair,Transportation
parking ticket,Transportation
toll road,Transportation
car wash,Transportation
bus ticket,Transportation
train ticket,Transportation
subway pass,Transportation
taxi fare,Transportation
lyft ride,Transportation
parking garage,Transportation
uber eats,Transportation
